X,Y,Z,code
16.3946,48.2287,7842,040
16.4196,48.2287,6779,040
16.4362,48.2287,5714,040
16.4446,48.2287,8119,040
16.4529,48.2287,8368,040
16.4612,48.2287,8535,040
16.4696,48.2287,8337,040
16.4779,48.2287,6062,040
16.4862,48.2287,5690,040
16.2446,48.2204,5314,040
16.2946,48.2204,7019,040
16.3029,48.2204,8349,040
16.3112,48.2204,8097,040
16.3196,48.2204,8322,040
16.3279,48.2204,8284,040
16.3362,48.2204,8305,040
16.3446,48.2204,8306,040
16.3529,48.2204,8213,040
16.3612,48.2204,7741,040
16.3696,48.2204,7673,040
16.3779,48.2204,7041,040
16.3862,48.2204,8041,040
16.3946,48.2204,8080,040
16.4029,48.2204,7896,040
16.4112,48.2204,5737,040
16.4279,48.2204,5242,040
16.4362,48.2204,5078,040
16.4446,48.2204,7339,040
16.4529,48.2204,7093,040
16.4612,48.2204,8056,040
16.4696,48.2204,8261,040
16.4779,48.2204,8120,040
16.4862,48.2204,7581,040
16.4946,48.2204,5291,040
16.5029,48.2204,5857,040
16.2196,48.2121,5673,040
16.2362,48.2121,5371,040
16.2862,48.2121,6906,040
16.2946,48.2121,7767,040
16.3029,48.2121,8195,040
16.3112,48.2121,8336,040
16.3196,48.2121,8278,040
16.3279,48.2121,8245,040
16.3362,48.2121,8224,040
16.3446,48.2121,8296,040
16.3529,48.2121,8273,040
16.3612,48.2121,8196,040
16.3696,48.2121,7849,040
16.3779,48.2121,7434,040
16.3862,48.2121,7840,040
16.3946,48.2121,7725,040
16.4029,48.2121,6731,040
16.4112,48.2121,7107,040
16.4196,48.2121,6804,040
16.4446,48.2121,5856,040
16.4529,48.2121,5466,040
16.4612,48.2121,6086,040
16.4696,48.2121,6233,040
16.4779,48.2121,5558,040
16.4862,48.2121,5442,040
16.5029,48.2121,6019,040
16.5112,48.2121,6776,040
16.5196,48.2121,6610,040
16.5362,48.2121,5788,040
16.2362,48.2037,5858,040
16.2446,48.2037,5875,040
16.2529,48.2037,5993,040
16.2612,48.2037,5548,040
16.2696,48.2037,5621,040
16.2779,48.2037,7248,040
16.2862,48.2037,7974,040
16.2946,48.2037,8159,040
16.3029,48.2037,8179,040
16.3112,48.2037,8314,040
16.3196,48.2037,8325,040
16.3279,48.2037,8308,040
16.3362,48.2037,8253,040
16.3446,48.2037,8279,040
16.3529,48.2037,8105,040
16.3612,48.2037,7916,040
16.3696,48.2037,7830,040
16.3779,48.2037,7790,040
16.3862,48.2037,7936,040
16.3946,48.2037,7850,040
16.4029,48.2037,6371,040
16.4196,48.2037,5059,040
16.4279,48.2037,6199,040
16.2612,48.1954,6667,040
16.2696,48.1954,6817,040
16.2779,48.1954,7452,040
16.2862,48.1954,7575,040
16.2946,48.1954,7653,040
16.3029,48.1954,7773,040
16.3112,48.1954,7957,040
16.3196,48.1954,8176,040
16.3279,48.1954,8141,040
16.3362,48.1954,7870,040
16.3446,48.1954,7951,040
16.3529,48.1954,8026,040
16.3612,48.1954,7898,040
16.3696,48.1954,7753,040
16.3779,48.1954,7798,040
16.3862,48.1954,8143,040
16.3946,48.1954,8154,040
16.4029,48.1954,7884,040
16.4112,48.1954,7822,040
16.4196,48.1954,5646,040
16.2612,48.1871,5650,040
16.2779,48.1871,7145,040
16.2862,48.1871,7282,040
16.2946,48.1871,7307,040
16.3029,48.1871,6553,040
16.3112,48.1871,6944,040
16.3196,48.1871,7321,040
16.3279,48.1871,7683,040
16.3362,48.1871,7729,040
16.3446,48.1871,7846,040
16.3529,48.1871,7903,040
16.3612,48.1871,8100,040
16.3696,48.1871,8475,040
16.3779,48.1871,8482,040
16.3862,48.1871,8388,040
16.3946,48.1871,8136,040
16.4029,48.1871,7436,040
16.4112,48.1871,7870,040
16.4196,48.1871,7511,040
16.4279,48.1871,6498,040
16.4362,48.1871,6201,040
16.2612,48.1787,5798,040
16.2696,48.1787,5674,040
16.2779,48.1787,6930,040
16.2862,48.1787,7513,040
16.2946,48.1787,7779,040
16.3029,48.1787,5197,040
16.3112,48.1787,5210,040
16.3196,48.1787,7314,040
16.3279,48.1787,7694,040
16.3362,48.1787,7733,040
16.3446,48.1787,8083,040
16.3529,48.1787,8367,040
16.3612,48.1787,8505,040
16.3696,48.1787,8522,040
16.3779,48.1787,8498,040
16.3862,48.1787,8488,040
16.3946,48.1787,7969,040
16.4029,48.1787,6821,040
16.4112,48.1787,8424,040
16.4196,48.1787,8434,040
16.4279,48.1787,7907,040
16.4362,48.1787,7816,040
16.4446,48.1787,6576,040
16.4529,48.1787,5237,040
16.4612,48.1787,5536,040
16.2779,48.1704,6763,040
16.2862,48.1704,7362,040
16.2946,48.1704,7596,040
16.3029,48.1704,7538,040
16.3112,48.1704,7599,040
16.3196,48.1704,7967,040
